#options: 2160x3840 fps=60000/1001 timebase=1001/60000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=8000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:P dur:2 cpbdur:2 q:43.67 aq:40.43 tex:28732 mv:38217 misc:21443 imb:337 pmb:4359 smb:27704 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:43.59 aq:40.28 tex:29567 mv:41538 misc:22727 imb:418 pmb:4860 smb:27122 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:43.59 aq:40.34 tex:30785 mv:36591 misc:20944 imb:274 pmb:4437 smb:27689 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:43.54 aq:40.06 tex:28164 mv:41360 misc:22996 imb:397 pmb:4846 smb:27157 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:43.54 aq:40.05 tex:32929 mv:45382 misc:23689 imb:343 pmb:5316 smb:26741 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:43.53 aq:40.05 tex:32479 mv:44908 misc:23725 imb:398 pmb:5270 smb:26732 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:43.50 aq:40.11 tex:38930 mv:45779 misc:24379 imb:393 pmb:5597 smb:26410 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:43.49 aq:39.81 tex:25007 mv:25253 misc:17532 imb:302 pmb:3045 smb:29053 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:43.42 aq:40.08 tex:31082 mv:37866 misc:22116 imb:328 pmb:4708 smb:27364 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:43.33 aq:39.86 tex:31622 mv:38856 misc:22554 imb:304 pmb:4892 smb:27204 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:43.25 aq:39.92 tex:37122 mv:35706 misc:21772 imb:293 pmb:4716 smb:27391 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:43.21 aq:39.58 tex:34357 mv:35357 misc:21470 imb:360 pmb:4407 smb:27633 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:43.14 aq:39.69 tex:36927 mv:36765 misc:21812 imb:331 pmb:4763 smb:27306 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:43.08 aq:39.53 tex:36768 mv:44667 misc:24613 imb:379 pmb:5669 smb:26352 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:43.00 aq:39.52 tex:44358 mv:40292 misc:23414 imb:365 pmb:5398 smb:26637 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:42.94 aq:39.15 tex:38346 mv:36202 misc:22060 imb:456 pmb:4564 smb:27380 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:42.90 aq:39.47 tex:24788 mv:17362 misc:14114 imb:170 pmb:2442 smb:29788 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:42.85 aq:39.38 tex:36093 mv:34862 misc:21253 imb:247 pmb:4754 smb:27399 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:42.83 aq:39.53 tex:37620 mv:26980 misc:18840 imb:233 pmb:3928 smb:28239 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:42.73 aq:39.25 tex:39062 mv:37571 misc:22623 imb:352 pmb:5011 smb:27037 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:42.68 aq:39.15 tex:48914 mv:45026 misc:25420 imb:431 pmb:6104 smb:25865 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:42.62 aq:39.14 tex:29293 mv:20197 misc:16214 imb:209 pmb:2921 smb:29270 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:42.56 aq:39.14 tex:52521 mv:36911 misc:22664 imb:249 pmb:5439 smb:26712 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:42.51 aq:38.74 tex:49069 mv:38218 misc:23281 imb:353 pmb:5350 smb:26697 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:42.47 aq:38.94 tex:45469 mv:28483 misc:19408 imb:235 pmb:4267 smb:27898 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:42.45 aq:38.85 tex:49912 mv:39507 misc:23869 imb:291 pmb:5685 smb:26424 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:42.42 aq:38.69 tex:70349 mv:40594 misc:24441 imb:361 pmb:6056 smb:25983 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:42.38 aq:38.28 tex:41378 mv:27654 misc:19976 imb:316 pmb:3988 smb:28096 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:42.28 aq:38.39 tex:58361 mv:40640 misc:24359 imb:377 pmb:5810 smb:26213 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:42.21 aq:38.40 tex:41850 mv:28513 misc:20325 imb:276 pmb:4143 smb:27981 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:42.12 aq:38.38 tex:59466 mv:34839 misc:23095 imb:268 pmb:5469 smb:26663 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:42.08 aq:37.92 tex:34583 mv:20742 misc:17083 imb:247 pmb:3088 smb:29065 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:42.06 aq:38.06 tex:42679 mv:32744 misc:22217 imb:261 pmb:4900 smb:27239 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:41.98 aq:37.84 tex:45041 mv:38472 misc:23767 imb:352 pmb:5448 smb:26600 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:41.94 aq:37.93 tex:85661 mv:36514 misc:24505 imb:330 pmb:6146 smb:25924 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:41.92 aq:37.78 tex:53360 mv:27212 misc:20356 imb:220 pmb:4502 smb:27678 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:41.88 aq:38.06 tex:38894 mv:16771 misc:14943 imb:114 pmb:2939 smb:29347 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:41.85 aq:38.04 tex:28848 mv:12017 misc:12807 imb:115 pmb:2153 smb:30132 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:41.83 aq:37.92 tex:33615 mv:12272 misc:12793 imb:114 pmb:2206 smb:30080 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:41.76 aq:37.85 tex:45631 mv:25198 misc:19675 imb:183 pmb:4212 smb:28005 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:41.77 aq:37.83 tex:30699 mv:12527 misc:12270 imb:109 pmb:2225 smb:30066 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:41.71 aq:38.21 tex:31977 mv:14794 misc:14101 imb:92 pmb:2718 smb:29590 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:41.69 aq:38.11 tex:43133 mv:16960 misc:15355 imb:130 pmb:3106 smb:29164 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:41.63 aq:37.56 tex:38027 mv:15915 misc:14714 imb:161 pmb:2823 smb:29416 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:41.59 aq:37.59 tex:41264 mv:14799 misc:13457 imb:129 pmb:2611 smb:29660 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:41.56 aq:37.97 tex:33479 mv:14130 misc:13239 imb:151 pmb:2382 smb:29867 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:41.55 aq:37.75 tex:57899 mv:28931 misc:20418 imb:181 pmb:4891 smb:27328 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:41.51 aq:37.46 tex:44105 mv:23296 misc:18207 imb:180 pmb:3876 smb:28344 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:41.45 aq:37.77 tex:41634 mv:18059 misc:14931 imb:183 pmb:2985 smb:29232 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:41.35 aq:37.65 tex:38965 mv:15855 misc:13796 imb:193 pmb:2633 smb:29574 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:41.26 aq:37.58 tex:50044 mv:16614 misc:15238 imb:188 pmb:2998 smb:29214 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:41.19 aq:37.27 tex:38641 mv:15478 misc:14137 imb:174 pmb:2622 smb:29604 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:41.11 aq:37.35 tex:45663 mv:18276 misc:15797 imb:166 pmb:3200 smb:29034 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:41.02 aq:37.21 tex:42299 mv:16102 misc:14687 imb:151 pmb:2806 smb:29443 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:40.94 aq:37.29 tex:59137 mv:21085 misc:17882 imb:134 pmb:3991 smb:28275 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:40.86 aq:37.12 tex:44034 mv:18981 misc:16353 imb:135 pmb:3407 smb:28858 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:40.80 aq:37.16 tex:47607 mv:17808 misc:15465 imb:147 pmb:3216 smb:29037 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:40.72 aq:37.13 tex:51473 mv:23017 misc:18334 imb:145 pmb:4061 smb:28194 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:40.70 aq:37.05 tex:73483 mv:24639 misc:18902 imb:168 pmb:4611 smb:27621 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:40.66 aq:36.55 tex:72419 mv:35833 misc:23748 imb:231 pmb:6037 smb:26132 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:40.63 aq:36.84 tex:63880 mv:23586 misc:18102 imb:158 pmb:4246 smb:27996 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:40.57 aq:36.78 tex:50689 mv:17051 misc:15228 imb:153 pmb:3085 smb:29162 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:40.51 aq:36.73 tex:79889 mv:26064 misc:20103 imb:210 pmb:4894 smb:27296 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:40.45 aq:36.56 tex:56573 mv:21083 misc:17632 imb:189 pmb:3741 smb:28470 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:40.41 aq:36.62 tex:64389 mv:22721 misc:17858 imb:180 pmb:4109 smb:28111 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:40.36 aq:36.50 tex:57406 mv:22005 misc:18109 imb:184 pmb:3881 smb:28335 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:40.32 aq:36.42 tex:75073 mv:22362 misc:19109 imb:206 pmb:4210 smb:27984 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:40.26 aq:36.12 tex:66800 mv:25573 misc:19451 imb:186 pmb:4583 smb:27631 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:40.22 aq:36.33 tex:67646 mv:22628 misc:17758 imb:170 pmb:4116 smb:28114 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:40.18 aq:36.41 tex:48641 mv:15136 misc:13895 imb:153 pmb:2658 smb:29589 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:40.14 aq:36.31 tex:73731 mv:20672 misc:18365 imb:156 pmb:3988 smb:28256 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:40.12 aq:35.84 tex:49203 mv:17378 misc:15171 imb:161 pmb:2984 smb:29255 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:40.09 aq:36.58 tex:47722 mv:16031 misc:13199 imb:146 pmb:2719 smb:29535 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:40.04 aq:36.29 tex:46699 mv:17777 misc:15460 imb:142 pmb:3129 smb:29129 d:- ref:0 ;
